Prob Old Nodes,Prob New Nodes,Prob OO,Prob NN,Prob ON,Prob OON
1974.0,205.0,1821.0,8.0,215.0,39.0
2063.0,142.0,1901.0,12.0,141.0,69.0
2072.0,133.0,1958.0,13.0,129.0,57.0
1944.0,135.0,1860.0,6.0,134.0,23.0
1838.0,82.0,1757.0,7.0,82.0,18.0
1768.0,122.0,1673.0,9.0,117.0,32.0
1676.0,132.0,1535.0,7.0,141.0,69.0
1540.0,103.0,1433.0,12.0,99.0,21.0
1548.0,156.0,1350.0,17.0,154.0,96.0
1611.0,201.0,1458.0,24.0,190.0,34.0
1752.0,224.0,1587.0,26.0,205.0,38.0
2071.0,404.0,1804.0,51.0,378.0,60.0
2405.0,224.0,2155.0,25.0,205.0,33.0
2481.0,165.0,2201.0,15.0,160.0,71.0
2564.0,144.0,2325.0,13.0,130.0,52.0
2516.0,216.0,2291.0,30.0,192.0,39.0
2545.0,201.0,2308.0,29.0,177.0,35.0
2663.0,153.0,2313.0,12.0,149.0,192.0
2283.0,189.0,2138.0,16.0,182.0,32.0
2275.0,169.0,2125.0,15.0,170.0,91.0
2300.0,152.0,2205.0,19.0,140.0,59.0
2443.0,904.0,2278.0,125.0,923.0,57.0
3106.0,114.0,3105.0,11.0,108.0,38.0
3008.0,183.0,2986.0,24.0,156.0,39.0
2916.0,200.0,2810.0,17.0,199.0,102.0
2938.0,137.0,2892.0,15.0,126.0,38.0
2802.0,114.0,2738.0,15.0,91.0,15.0
2653.0,137.0,2574.0,12.0,123.0,20.0
1686.0,110.0,1563.0,13.0,95.0,34.0
1619.0,126.0,1500.0,15.0,113.0,17.0
1500.0,76.0,1394.0,9.0,66.0,15.0
1266.0,106.0,1160.0,12.0,90.0,14.0
1204.0,91.0,1086.0,9.0,80.0,12.0
1176.0,95.0,1066.0,12.0,91.0,22.0
1149.0,139.0,1027.0,15.0,121.0,16.0
1600.0,105.0,1041.0,9.0,117.0,632.0
1631.0,106.0,1676.0,11.0,107.0,20.0
1776.0,81.0,1729.0,9.0,91.0,136.0
1784.0,91.0,1841.0,7.0,107.0,21.0
1830.0,98.0,1887.0,12.0,104.0,21.0
1883.0,114.0,1920.0,10.0,130.0,28.0
1910.0,147.0,1957.0,20.0,184.0,19.0
1440.0,153.0,1521.0,11.0,196.0,20.0
1486.0,179.0,1604.0,109.0,170.0,15.0
1511.0,78.0,1675.0,6.0,95.0,81.0
1479.0,79.0,1718.0,7.0,89.0,18.0
1440.0,66.0,1675.0,5.0,76.0,20.0
1387.0,78.0,1579.0,8.0,81.0,35.0
1301.0,104.0,1463.0,7.0,128.0,28.0
1246.0,158.0,1353.0,17.0,185.0,33.0
1275.0,177.0,1334.0,14.0,191.0,71.0
1386.0,164.0,1461.0,5.0,183.0,46.0
1474.0,91.0,1589.0,11.0,87.0,34.0
1618.0,85.0,1601.0,8.0,91.0,176.0
1618.0,97.0,1752.0,9.0,94.0,37.0
1635.0,66.0,1742.0,4.0,70.0,74.0
1527.0,90.0,1670.0,5.0,100.0,36.0
1424.0,89.0,1504.0,10.0,96.0,37.0
1286.0,65.0,1368.0,8.0,62.0,18.0
1248.0,72.0,1330.0,7.0,77.0,16.0
1145.0,91.0,1197.0,5.0,110.0,48.0
1223.0,87.0,1237.0,9.0,79.0,92.0
1179.0,64.0,1256.0,4.0,59.0,28.0
1216.0,84.0,1232.0,6.0,97.0,133.0
1170.0,64.0,1310.0,3.0,73.0,23.0
1178.0,66.0,1325.0,9.0,82.0,18.0
1187.0,88.0,1337.0,10.0,94.0,14.0
1143.0,62.0,1252.0,3.0,74.0,7.0
1066.0,78.0,1138.0,11.0,89.0,21.0
1104.0,58.0,1164.0,9.0,66.0,24.0
945.0,85.0,1001.0,10.0,100.0,15.0
988.0,61.0,1048.0,3.0,77.0,33.0
1014.0,91.0,1093.0,9.0,105.0,36.0
1009.0,54.0,1141.0,6.0,62.0,23.0
1004.0,52.0,1152.0,4.0,65.0,45.0
974.0,36.0,1149.0,4.0,49.0,20.0
941.0,48.0,1125.0,4.0,53.0,14.0
903.0,51.0,1093.0,4.0,55.0,21.0
879.0,73.0,1035.0,3.0,93.0,28.0
790.0,54.0,937.0,6.0,66.0,9.0
763.0,54.0,888.0,5.0,65.0,15.0
713.0,56.0,834.0,1.0,79.0,13.0
735.0,64.0,861.0,3.0,95.0,29.0
765.0,73.0,916.0,4.0,89.0,16.0
804.0,74.0,953.0,2.0,99.0,8.0
851.0,123.0,968.0,7.0,154.0,27.0
1033.0,144.0,1157.0,14.0,161.0,35.0
1166.0,92.0,1298.0,4.0,111.0,21.0
1214.0,74.0,1335.0,9.0,115.0,9.0
1252.0,78.0,1338.0,7.0,94.0,52.0
1359.0,81.0,1365.0,4.0,102.0,124.0
1496.0,56.0,1486.0,5.0,69.0,150.0
1514.0,86.0,1490.0,8.0,114.0,146.0
1518.0,123.0,1503.0,5.0,165.0,141.0
2171.0,91.0,1686.0,8.0,105.0,668.0
2567.0,206.0,2372.0,32.0,267.0,371.0
3892.0,164.0,2919.0,14.0,196.0,1277.0
3974.0,465.0,4230.0,17.0,820.0,89.0
