dataset,hidden_dim_1,hidden_dim_2,learning_rate,num_epochs,num_layers,aucroc,loss
networkadex,64,64,0.001,1000,3,0.4748549323017408,468411.7578125
networkadex,64,128,0.0001,500,3,0.5424242424242425,442051.9609375
networkadex,64,128,0.0001,750,3,0.5424242424242425,466357.421875
networkadex,64,128,0.0001,1000,3,0.4748549323017408,468573.0546875
networkadex,64,128,0.001,500,3,0.5424242424242425,468005.765625
networkadex,64,128,0.001,750,3,0.4915966386554621,468122.625
networkadex,64,128,0.001,1000,3,0.5188034188034188,468032.640625
networkadex,64,256,0.0001,500,3,0.4915966386554621,465463.25
networkadex,64,256,0.0001,750,3,0.4748549323017408,468736.875
networkadex,64,256,0.0001,1000,3,0.4748549323017408,468835.140625
networkadex,64,256,0.001,500,3,0.5448717948717949,467725.0546875
networkadex,64,256,0.001,750,3,0.5424242424242425,467839.21875
networkadex,64,256,0.001,1000,3,0.5476190476190477,467661.640625
networkadex,128,32,0.0001,500,3,0.49245283018867925,182143.16015625
networkadex,128,32,0.0001,750,3,0.49245283018867925,411352.9921875
networkadex,128,32,0.0001,1000,3,0.5424242424242425,456190.5625
networkadex,128,32,0.001,500,3,0.5424242424242425,468087.953125
networkadex,128,32,0.001,750,3,0.4902597402597403,468819.734375
networkadex,128,32,0.001,1000,3,0.4748549323017408,468699.828125
networkadex,128,64,0.0001,500,3,0.49245283018867925,388592.9453125
networkadex,128,64,0.0001,750,3,0.5424242424242425,446695.78125
networkadex,128,64,0.0001,1000,3,0.5337381916329285,464466.359375
networkadex,128,64,0.001,500,3,0.5424242424242425,467968.4140625
networkadex,128,64,0.001,750,3,0.5083333333333333,468600.671875
networkadex,128,64,0.001,1000,3,0.4915966386554621,468549.546875
networkadex,128,128,0.0001,500,3,0.5424242424242425,442233.375
networkadex,128,128,0.0001,750,3,0.5424242424242425,466527.3125
networkadex,128,128,0.0001,1000,3,0.4748549323017408,468631.2421875
networkadex,128,128,0.001,500,3,0.5424242424242425,467964.2109375
networkadex,128,128,0.001,750,3,0.5424242424242425,467973.6875
networkadex,128,128,0.001,1000,3,0.5083333333333333,467994.90625
networkadex,128,256,0.0001,500,3,0.4915966386554621,465564.453125
networkadex,128,256,0.0001,750,3,0.4748549323017408,468668.34375
networkadex,128,256,0.0001,1000,3,0.4915966386554621,468784.109375
networkadex,128,256,0.001,500,3,0.5424242424242425,467810.59375
networkadex,128,256,0.001,750,3,0.5448717948717949,467676.859375
networkadex,128,256,0.001,1000,3,0.5476190476190477,467687.609375
networkadex,256,32,0.0001,500,3,0.45512820512820507,182655.390625
networkadex,256,32,0.0001,750,3,0.49245283018867925,410962.6171875
networkadex,256,32,0.0001,1000,3,0.5424242424242425,457110.859375
networkadex,256,32,0.001,500,3,0.5424242424242425,467683.8125
networkadex,256,32,0.001,750,3,0.4748549323017408,468693.609375
networkadex,256,32,0.001,1000,3,0.4915966386554621,468699.1875
networkadex,256,64,0.0001,500,3,0.49245283018867925,388590.6484375
networkadex,256,64,0.0001,750,3,0.5476190476190477,447608.6328125
networkadex,256,64,0.0001,1000,3,0.5507246376811594,464429.5
networkadex,256,64,0.001,500,3,0.4915966386554621,468965.609375
networkadex,256,64,0.001,750,3,0.5267857142857143,468520.9375
networkadex,256,64,0.001,1000,3,0.5083333333333333,468412.6171875
networkadex,256,128,0.0001,500,3,0.5424242424242425,441581.015625
networkadex,256,128,0.0001,750,3,0.5424242424242425,466303.0234375
networkadex,256,128,0.0001,1000,3,0.4748549323017408,468734.4140625
networkadex,256,128,0.001,500,3,0.5424242424242425,467875.625
networkadex,256,128,0.001,750,3,0.5448717948717949,467918.40625
networkadex,256,128,0.001,1000,3,0.4915966386554621,468094.9921875
networkadex,256,256,0.0001,500,3,0.4915966386554621,465510.3671875
networkadex,256,256,0.0001,750,3,0.4748549323017408,468683.6484375
networkadex,256,256,0.0001,1000,3,0.4748549323017408,468768.0234375
networkadex,256,256,0.001,500,3,0.5424242424242425,467832.0703125
networkadex,256,256,0.001,750,3,0.5476190476190477,467618.65625
networkadex,256,256,0.001,1000,3,0.5476190476190477,467548.3671875
networkadex,512,32,0.0001,500,3,0.49245283018867925,182117.91015625
networkadex,512,32,0.0001,750,3,0.49245283018867925,411226.7109375
networkadex,512,32,0.0001,1000,3,0.5424242424242425,455470.8203125
networkadex,512,32,0.001,500,3,0.5424242424242425,468174.40625
networkadex,512,32,0.001,750,3,0.4915966386554621,469082.3671875
networkadex,512,32,0.001,1000,3,0.5267857142857143,468669.5703125
networkadex,512,64,0.0001,500,3,0.49245283018867925,388101.9375
networkadex,512,64,0.0001,750,3,0.5476190476190477,447056.140625
networkadex,512,64,0.0001,1000,3,0.5699404761904762,464576.6796875
networkadex,512,64,0.001,500,3,0.4748549323017408,468842.4921875
networkadex,512,64,0.001,750,3,0.4915966386554621,468513.890625
