0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
33,8,4,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,16,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,16,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
842,360,3488,0,0,572,1139,13989,0,0,0,0,38,152,0,0,0,3,2,0,0
1118,1792,5728,0,0,2768,11459,37558,0,0,0,0,117,468,0,0,0,3,2,0,0
984,1440,1836,0,0,2644,4951,6620,0,0,0,0,19,76,0,0,0,0,0,0,0
888,1280,1492,0,0,1644,4398,5758,0,0,0,0,20,80,0,0,0,0,0,0,0
632,903,776,12,0,1392,2628,2760,6,10,24,5,14,56,0,0,0,0,0,0,0
1513,2500,8640,0,0,2468,18935,60512,0,0,0,0,37,148,0,0,0,0,0,0,0
1922,5015,12312,632,24,6772,41905,98848,3879,2729,572,5955,364,1236,594,416,48,38,64,20,5
2013,2739,12948,100,0,7496,20585,79539,300,216,64,1000,524,1976,0,0,0,63,42,0,0
706,860,1748,0,0,924,3327,7304,0,0,0,0,90,360,0,0,0,12,8,0,0
1513,2876,6820,0,0,6972,17160,39763,0,0,0,0,160,600,0,0,0,0,0,0,0
672,831,884,40,0,1068,1974,2483,69,55,36,110,14,36,0,0,0,0,0,0,0
359,124,260,0,0,24,177,319,0,0,0,0,0,0,0,0,0,0,0,0,0
394,400,572,0,0,244,1267,1889,0,0,0,0,11,44,0,0,0,0,0,0,0
818,872,1620,0,0,1496,2543,5491,0,0,0,0,0,0,0,0,0,0,0,0,0
341,348,328,0,0,372,828,880,0,0,0,0,9,36,0,0,0,0,0,0,0
9809,2922,304596,616,0,5224,64900,7147536,456,319,60,28495,0,0,0,5,0,0,0,0,0
392,404,268,0,0,380,770,650,0,0,0,0,0,0,0,0,0,0,0,0,0
262,240,104,0,0,272,347,236,0,0,0,0,0,0,0,0,0,0,0,0,0
217,92,40,0,0,60,69,41,0,0,0,0,0,0,0,0,0,0,0,0,0
125,40,16,0,0,20,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,4,16,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
137,48,20,0,0,24,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0
844,923,3544,32,0,832,4972,16861,45,50,80,65,19,76,0,0,0,0,0,0,0
301,208,100,0,0,228,210,137,0,0,0,0,0,0,0,0,0,0,0,0,0
426,353,868,104,4,124,1096,2810,198,151,76,390,0,0,36,24,3,2,0,0,0
258,216,108,0,0,244,328,218,0,0,0,0,0,0,0,0,0,0,0,0,0
111,48,20,0,0,28,46,31,0,0,0,0,0,0,0,0,0,0,0,0,0
128,28,28,0,0,16,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0
425,352,372,0,0,352,643,785,0,0,0,0,0,0,0,0,0,0,0,0,0
556,899,896,48,0,1376,2663,3161,87,70,48,185,42,148,0,0,0,3,2,0,0
354,363,180,20,0,472,475,328,21,22,32,15,0,0,0,0,0,0,0,0,0
372,432,212,0,0,532,814,589,0,0,0,0,0,0,0,0,0,0,0,0,0
363,442,332,56,0,596,848,801,60,56,64,110,0,0,0,0,0,0,0,0,0
177,88,100,0,0,76,91,123,0,0,0,0,0,0,0,0,0,0,0,0,0
168,56,52,0,0,36,39,45,0,0,0,0,0,0,0,0,0,0,0,0,0
247,220,120,0,0,236,278,201,0,0,0,0,0,0,0,0,0,0,0,0,0
321,244,184,0,0,208,361,321,0,0,0,0,0,0,0,0,0,0,0,0,0
251,176,108,0,0,120,192,148,0,0,0,0,0,0,0,0,0,0,0,0,0
298,308,224,0,0,196,577,502,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,56,20,0,0,44,41,25,0,0,0,0,0,0,0,0,0,0,0,0,0
64,8,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,92,56,0,0,64,58,53,0,0,0,0,0,0,0,0,0,0,0,0,0
142,64,20,0,0,40,37,18,0,0,0,0,0,0,0,0,0,0,0,0,0
212,284,156,0,0,304,547,419,0,0,0,0,9,36,0,0,0,0,0,0,0
373,312,732,0,0,280,1054,2336,0,0,0,0,0,0,0,0,0,0,0,0,0
1600,764,16440,0,0,920,7472,142013,0,0,0,0,4,16,0,0,0,0,0,0,0
119,80,48,0,0,68,92,75,0,0,0,0,0,0,0,0,0,0,0,0,0
87,32,16,0,0,16,22,12,0,0,0,0,0,0,0,0,0,0,0,0,0
990,580,4400,0,0,352,3040,22083,0,0,0,0,0,0,0,0,0,0,0,0,0
418,672,376,0,0,912,1641,1257,0,0,0,0,5,20,0,0,0,0,0,0,0
390,536,376,0,0,684,1098,1033,0,0,0,0,11,44,0,0,0,0,0,0,0
396,676,452,0,0,936,1887,1647,0,0,0,0,13,32,0,0,0,0,0,0,0
286,344,176,0,0,472,643,465,0,0,0,0,0,0,0,0,0,0,0,0,0
87,24,12,0,0,4,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0
192,216,96,0,0,176,314,220,0,0,0,0,0,0,0,0,0,0,0,0,0
547,872,1040,0,0,1208,3254,4073,0,0,0,0,14,36,0,0,0,0,0,0,0
354,380,732,0,0,452,1307,2476,0,0,0,0,12,48,0,0,0,0,0,0,0
233,148,68,0,0,128,152,110,0,0,0,0,0,0,0,0,0,0,0,0,0
141,76,40,0,0,72,75,48,0,0,0,0,3,12,0,0,0,0,0,0,0
221,200,144,0,0,168,393,339,0,0,0,0,9,36,0,0,0,0,0,0,0
4860,724,110908,0,0,720,13752,1845503,0,0,0,0,0,0,0,0,0,0,0,0,0
163,95,72,20,0,32,110,113,12,11,12,30,0,0,0,0,0,0,0,0,0
187,176,80,0,0,160,253,177,0,0,0,0,0,0,0,0,0,0,0,0,0
239,203,156,16,0,172,418,355,12,14,24,10,0,0,0,0,0,0,0,0,0
78,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,127,244,16,0,48,177,460,15,13,12,5,0,0,0,0,0,0,0,0,0
188,140,76,0,0,116,164,120,0,0,0,0,0,0,0,0,0,0,0,0,0
120,36,28,0,0,12,18,15,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,84,80,0,0,60,105,135,0,0,0,0,0,0,0,0,0,0,0,0,0
136,56,16,0,0,40,34,16,0,0,0,0,0,0,0,0,0,0,0,0,0
199,172,116,0,0,116,236,218,0,0,0,0,6,24,0,0,0,0,0,0,0
109,44,8,0,0,36,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0
93,60,32,0,0,52,58,40,0,0,0,0,0,0,0,0,0,0,0,0,0
316,184,536,0,0,100,337,1283,0,0,0,0,5,20,0,0,0,0,0,0,0
100,27,4,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
485,436,552,0,0,448,1039,1373,0,0,0,0,0,0,0,0,0,0,0,0,0
315,340,204,0,0,352,568,455,0,0,0,0,0,0,0,0,0,0,0,0,0
295,348,248,0,0,348,708,629,0,0,0,0,16,64,0,0,0,0,0,0,0
498,596,800,0,0,632,1640,2298,0,0,0,0,7,28,0,0,0,0,0,0,0
310,276,512,0,0,160,763,1537,0,0,0,0,0,0,0,0,0,0,0,0,0
132,12,88,0,0,0,3,77,0,0,0,0,0,0,0,0,0,0,0,0,0
89,28,20,0,0,20,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0
160,40,104,0,0,0,27,68,0,0,0,0,6,24,0,0,0,3,2,0,0
140,48,88,0,0,0,78,127,0,0,0,0,0,0,0,0,0,0,0,0,0
168,56,92,0,0,0,69,96,0,0,0,0,0,0,0,0,0,0,0,0,0
236,248,124,0,0,240,366,249,0,0,0,0,6,24,0,0,0,0,0,0,0
452,412,1544,0,0,512,1709,6134,0,0,0,0,10,0,0,0,0,0,0,0,0
80,24,16,0,0,4,19,17,0,0,0,0,0,0,0,0,0,0,0,0,0
96,16,24,0,0,16,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0
335,348,640,0,0,400,955,1795,0,0,0,0,20,80,0,0,0,0,0,0,0
166,87,124,24,0,64,136,205,15,12,8,50,0,0,0,0,0,0,0,0,0
122,28,24,0,0,12,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0
178,92,160,0,0,16,133,261,0,0,0,0,0,0,0,0,0,0,0,0,0
141,48,76,0,0,0,90,95,0,0,0,0,0,0,0,0,0,0,0,0,0
50,16,4,0,0,4,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0
68,16,16,0,0,12,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0
89,44,12,0,0,24,27,14,0,0,0,0,0,0,0,0,0,0,0,0,0
109,16,44,0,0,4,7,29,0,0,0,0,0,0,0,0,0,0,0,0,0
92,44,24,0,0,36,33,21,0,0,0,0,0,0,0,0,0,0,0,0,0
149,56,84,0,0,44,53,78,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,16,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
186,0,480,0,0,0,0,1050,0,0,0,0,0,0,0,0,0,0,0,0,0
66,12,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0,40,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
56,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,20,32,0,0,4,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0
