from,to,date,value
2706251,2718006,2016-04-29,25000000000000.0
2718047,2717840,2016-04-29,460000000300.0
2714597,2718060,2016-04-29,1000000000.0
2716554,2717989,2016-04-29,1000000000.0
2718069,2718071,2016-04-29,16000000000.0
2335625,2716584,2016-04-29,100000000000.0
2337263,2717840,2016-04-29,63944500000.0
1744945,2646771,2016-04-29,771775591800000.0
2718029,2718030,2016-04-29,1200000000000.0
2718112,2716840,2016-04-29,100000000.0
2718054,2718055,2016-04-29,13459500000.0
2711727,2718114,2016-04-29,2909400000.0
2718038,2718039,2016-04-29,270402200000.0
2337263,2714597,2016-04-29,675000000000.0
2714587,2335304,2016-04-29,200000000000.0
2717257,2717994,2016-04-29,67017700000.0
2717967,2337263,2016-04-29,101000000000.0
2717988,2337263,2016-04-29,1000000000.0
2714547,2717967,2016-04-29,50000000000.0
203456,2596372,2016-04-29,2500000.0
2711782,2718063,2016-04-29,14852444400000.0
2717954,2717955,2016-04-29,1000000000.0
2716342,2716342,2016-04-29,1000000000.0
366026,2717985,2016-04-29,77000000000.0
486258,2717972,2016-04-29,945400000.0
43662,2718051,2016-04-29,300000000000.0
2718086,2718087,2016-04-29,72065300000.0
70407,2717843,2016-04-29,100000000000.0
2718014,2337263,2016-04-29,1832909400000.0
2718042,2718043,2016-04-29,1000000000.0
238680,2718095,2016-04-29,5000000000.0
2718081,2718082,2016-04-29,2000000000.0
2713617,2717962,2016-04-29,176233600000.0
2596372,203456,2016-04-29,2500000.0
2714587,2717960,2016-04-29,500000000000.0
2717953,2337263,2016-04-29,384189600000.0
2718048,2337263,2016-04-29,1000000000.0
2717973,2337263,2016-04-29,10000000000.0
2337263,2715544,2016-04-29,1000000000.0
2718031,2337263,2016-04-29,10000000000.0
2717999,2337263,2016-04-29,10000000000.0
2718078,2337263,2016-04-29,100000000000.0
2717971,2337263,2016-04-29,1000000000.0
2717981,2337263,2016-04-29,1000000000.0
2717997,2337263,2016-04-29,10000000000.0
2714547,2717967,2016-04-29,25000000000.0
2717952,2717953,2016-04-29,100000000000.0
2718114,2337263,2016-04-29,2909400000.0
2718007,2718008,2016-04-29,17899300000.0
2716748,2718116,2016-04-29,1000000000.0
2717890,2718005,2016-04-29,10000000000.0
2716763,2717973,2016-04-29,10000000000.0
2717987,2337263,2016-04-29,3634137600000.0
2337263,2716526,2016-04-29,853240000.0
2718009,2337263,2016-04-29,100000000000.0
2718049,2337263,2016-04-29,590000000000.0
2715679,2717957,2016-04-29,157545300000.0
2337263,2718010,2016-04-29,30000000.0
2717464,2718080,2016-04-29,900000000000.0
251940,2712627,2016-04-29,625290600000.0
2718076,2717846,2016-04-29,5000000000.0
2716526,2717982,2016-04-29,1000000000.0
2712627,2712627,2016-04-29,1408472100000.0
2718095,2337263,2016-04-29,5000000000.0
2718103,2337263,2016-04-29,1502000000000.0
2337263,2717840,2016-04-29,165000000.0
2718021,2337263,2016-04-29,6000000000.0
2715152,2717946,2016-04-29,500000000000.0
2718019,2337263,2016-04-29,4000000000.0
2716342,2716342,2016-04-29,5000000000.0
2718020,2337263,2016-04-29,97781100000.0
2718004,2337263,2016-04-29,152204400000.0
43662,2717806,2016-04-29,1000000000.0
2715152,2717980,2016-04-29,389000000000.0
2717974,2718012,2016-04-29,7000000000.0
2337263,2711872,2016-04-29,29000000000.0
2718054,2718055,2016-04-29,200000000000.0
75078,2717996,2016-04-29,400000000000.0
2718072,2718073,2016-04-29,659145900000.0
2718010,2716840,2016-04-29,30000000.0
2718029,2718030,2016-04-29,1000000000.0
2712627,2717838,2016-04-29,40000000000.0
2718023,2718024,2016-04-29,100000000.0
366026,2717985,2016-04-29,90000000000.0
70407,2717843,2016-04-29,5000000000.0
2718057,2718058,2016-04-29,10000000.0
2337263,2718107,2016-04-29,15000000000.0
2708222,2718048,2016-04-29,1000000000.0
2718023,2718028,2016-04-29,281984100000.0
2718002,2337263,2016-04-29,100000000000.0
2718008,2337263,2016-04-29,722500000.0
2337263,2718113,2016-04-29,1800000000.0
2716061,2717842,2016-04-29,500000000.0
2716550,2718016,2016-04-29,1000000000.0
2718104,2337263,2016-04-29,1000000000.0
486258,2717972,2016-04-29,11000000000.0
2718035,2337263,2016-04-29,100000000.0
2718097,2718098,2016-04-29,1000000000.0
2718038,2718039,2016-04-29,100000000000.0
45143,2718066,2016-04-29,2919000000000.0
2716584,2717983,2016-04-29,100000000.0
2718087,2337263,2016-04-29,72265300000.0
2718045,2718046,2016-04-29,500000000000.0
238680,2718095,2016-04-29,1000000000.0
2717794,2717981,2016-04-29,1000000000.0
2718095,2337263,2016-04-29,8000000000.0
2717303,2718061,2016-04-29,1000000000.0
403011,2717986,2016-04-29,9000000000.0
2716710,2718056,2016-04-29,6500000000.0
2718082,2337263,2016-04-29,2000000000.0
2337263,2717840,2016-04-29,13363114100.0
403011,2718009,2016-04-29,100000000000.0
2711974,2718011,2016-04-29,4000000000.0
2718071,2337263,2016-04-29,50000000000.0
2713332,2715547,2016-04-29,84749200000.0
2717972,2337263,2016-04-29,15945400000.0
2717776,2717777,2016-04-29,50000000000.0
403011,2718020,2016-04-29,97781100000.0
203456,2596372,2016-04-29,4500000.0
2718072,2718073,2016-04-29,500000000000.0
2715564,2716430,2016-04-29,530000000.0
2716061,2718104,2016-04-29,1000000000.0
2714191,2718102,2016-04-29,1000000000.0
2717031,2717956,2016-04-29,1000000000.0
2717986,2337263,2016-04-29,10000000000.0
2718011,2337263,2016-04-29,4000000000.0
75078,2717996,2016-04-29,722000000000.0
2337263,2646771,2016-04-29,6306624520000.0
2717794,2718074,2016-04-29,4609700000.0
2716920,2718049,2016-04-29,590000000000.0
2337263,2715679,2016-04-29,165000000000.0
2718022,2714920,2016-04-29,336088300000.0
2717953,2337263,2016-04-29,100000000000.0
2715058,2717959,2016-04-29,1000000000.0
2717974,2718012,2016-04-29,7.0
2337263,2714597,2016-04-29,10000000000.0
2717969,2717970,2016-04-29,1000000.0
2717957,2337263,2016-04-29,358545300000.0
2718076,2717846,2016-04-29,37212600000.0
403011,2718015,2016-04-29,100000000000.0
403011,2717997,2016-04-29,10000000000.0
2337263,2714597,2016-04-29,1000000.0
2599538,75078,2016-04-29,400000000000.0
2337263,2716840,2016-04-29,350000000.0
2718110,2337263,2016-04-29,9400000.0
2717480,2337263,2016-04-29,2000000000.0
2715679,2717957,2016-04-29,1000000000.0
72592,2717991,2016-04-29,100000000000.0
2337263,2716920,2016-04-29,634000000000.0
2716731,2717947,2016-04-29,616000000000.0
2718105,2337263,2016-04-29,2000000000.0
2715152,2715152,2016-04-29,793900000.0
2718003,2718004,2016-04-29,152204400000.0
2602440,2717480,2016-04-29,2000000000.0
2337263,2715679,2016-04-29,1000000000.0
2716554,2717989,2016-04-29,199000000000.0
2718015,2337263,2016-04-29,100000000000.0
2717280,2718077,2016-04-29,290000000000.0
2718036,2715700,2016-04-29,10000000000.0
2718038,2718039,2016-04-29,195000000000.0
2646771,2717951,2016-04-29,1000000000.0
2715679,2717957,2016-04-29,100000000000.0
2717249,2718085,2016-04-29,155000000000.0
2718108,2718109,2016-04-29,275167100000.0
2337263,2711872,2016-04-29,1000000000.0
2718074,2337263,2016-04-29,4609700000.0
2714587,2717960,2016-04-29,1000000000000.0
2716920,2717958,2016-04-29,710000000000.0
2716584,2717601,2016-04-29,100000000.0
2718029,2718103,2016-04-29,1500000000000.0
2717993,2717283,2016-04-29,100000000.0
2718013,2337263,2016-04-29,100000000000.0
2706494,2717990,2016-04-29,10000000000.0
2717104,2718032,2016-04-29,300000000000.0
2713480,2717823,2016-04-29,1000000000.0
2716584,2718001,2016-04-29,10000000.0
73296,2718067,2016-04-29,1000000000.0
2337263,2718113,2016-04-29,900000000.0
2718059,2337263,2016-04-29,1000000000.0
2717888,2718035,2016-04-29,200000000000.0
2717952,2717953,2016-04-29,84179600000.0
2717980,2337263,2016-04-29,389000000000.0
38644,1744945,2016-04-29,793900000.0
366026,2717985,2016-04-29,51800000000.0
2715637,2717844,2016-04-29,2000000000.0
2717257,2717994,2016-04-29,1000000000.0
2717655,2717907,2016-04-29,72268300000.0
2717907,2337263,2016-04-29,73268300000.0
2715434,2717837,2016-04-29,2000000000.0
2714597,2717834,2016-04-29,100000000000.0
2717952,2717953,2016-04-29,200000000000.0
2717994,2337263,2016-04-29,68017700000.0
2706251,2718006,2016-04-29,1000000000000.0
2718050,2716957,2016-04-29,109510600000.0
2337263,2715679,2016-04-29,100000000000.0
2715152,2717946,2016-04-29,2000000000.0
2718088,2337263,2016-04-29,6000000000.0
345127,2718062,2016-04-29,250000000000.0
2718060,2337263,2016-04-29,400000000000.0
340598,2717848,2016-04-29,35000000000.0
2717240,2717976,2016-04-29,1000000000.0
2717061,2717987,2016-04-29,1000000000.0
2717995,2337263,2016-04-29,100000000000.0
2714587,2717960,2016-04-29,331000000000.0
2716295,2715702,2016-04-29,260000000.0
2715703,2337263,2016-04-29,102000000000.0
75560,2718044,2016-04-29,150000000000.0
2713617,2717962,2016-04-29,5000000000.0
2718071,2337263,2016-04-29,2000000000.0
2717977,2717978,2016-04-29,1000000000.0
2717954,2717955,2016-04-29,741249100000.0
2718086,2718087,2016-04-29,200000000.0
2716550,2718019,2016-04-29,4000000000.0
2717554,2337263,2016-04-29,100000000000.0
366026,2717985,2016-04-29,135000000000.0
2718038,2718039,2016-04-29,800000000000.0
2717061,2717987,2016-04-29,3633137600000.0
2337263,2716763,2016-04-29,1000000000.0
2717464,2718079,2016-04-29,500000000000.0
2717963,2717964,2016-04-29,3578532300000.0
2718016,2337263,2016-04-29,1000000000.0
2715703,2337263,2016-04-29,218000000000.0
2718033,2718034,2016-04-29,158182300000.0
2717655,2717907,2016-04-29,1000000000.0
2717977,2717978,2016-04-29,8000000000.0
2716061,2717842,2016-04-29,10000000000.0
2599538,75078,2016-04-29,1000000000.0
2718043,2337263,2016-04-29,1000000000.0
2716710,2718056,2016-04-29,1000000000.0
2718027,2717097,2016-04-29,1127000000000.0
2717958,2337263,2016-04-29,710000000000.0
2717951,2337263,2016-04-29,6311000000000.0
2716550,2718021,2016-04-29,6000000000.0
2718038,2718039,2016-04-29,3000000000000.0
2717950,2717833,2016-04-29,7294700000.0
2718089,2718090,2016-04-29,17817700000.0
2716536,2715703,2016-04-29,100000000000.0
2717998,2337263,2016-04-29,30000000000.0
2718033,2718034,2016-04-29,1000000000.0
345127,2718062,2016-04-29,60000000000.0
2718053,2718008,2016-04-29,722500000.0
2717249,2718085,2016-04-29,10000000000.0
2715921,2717995,2016-04-29,100000000000.0
2718062,2337263,2016-04-29,60000000000.0
2602440,2717849,2016-04-29,2000000000.0
2718038,2718039,2016-04-29,2900000000000.0
2718098,2337263,2016-04-29,1000000000.0
45143,2718066,2016-04-29,1000000000.0
2599538,2717554,2016-04-29,100000000000.0
2706494,2717961,2016-04-29,10690000000.0
2714609,2717979,2016-04-29,1800000000000.0
2337263,2718068,2016-04-29,497079559170.0
2717104,2718032,2016-04-29,124000000000.0
403011,2718013,2016-04-29,100000000000.0
2717826,2717827,2016-04-29,1000000000.0
2717097,2717988,2016-04-29,1000000000.0
2718008,2337263,2016-04-29,17899300000.0
2718064,2718065,2016-04-29,30000000000.0
2706494,2717961,2016-04-29,672000000000.0
2718061,2337263,2016-04-29,1000000000.0
2718060,2337263,2016-04-29,300000000000.0
98797,2718018,2016-04-29,1000000000.0
2718081,2718082,2016-04-29,33638800000.0
2718082,2337263,2016-04-29,33638800000.0
2717031,2717956,2016-04-29,10000000000.0
2718093,2337263,2016-04-29,1500000000.0
2717992,2715814,2016-04-29,163014700000.0
2717954,2717955,2016-04-29,10000000.0
2713495,2718099,2016-04-29,46000000000.0
2716536,2715703,2016-04-29,2000000000.0
2718062,2337263,2016-04-29,12000000000.0
2718105,2337263,2016-04-29,5000000000.0
2717741,2337263,2016-04-29,487769100000.0
2714587,2717191,2016-04-29,1500000000000.0
2717801,2337263,2016-04-29,1000000000.0
2599538,2717554,2016-04-29,50000000000.0
2716710,2718056,2016-04-29,40100000000.0
2718000,2715701,2016-04-29,100000000.0
2718080,2337263,2016-04-29,900000000000.0
403011,2717999,2016-04-29,10000000000.0
2337263,2717274,2016-04-29,100000000.0
2717777,2337263,2016-04-29,50000000000.0
2718054,2718055,2016-04-29,100000000000.0
2646771,2717951,2016-04-29,6310000000000.0
2718062,2337263,2016-04-29,250000000000.0
73296,2718067,2016-04-29,1000000000000.0
2718060,2337263,2016-04-29,1000000000.0
2717252,2718059,2016-04-29,1000000000.0
2716570,2717839,2016-04-29,10000000000.0
2716920,2717776,2016-04-29,173872820000.0
2716748,2718115,2016-04-29,1000000000.0
2718033,2718034,2016-04-29,100000000000.0
2717968,2337263,2016-04-29,29000000000.0
2599538,75078,2016-04-29,723000000000.0
2717554,2337263,2016-04-29,50000000000.0
2717974,2717975,2016-04-29,7.0
2713332,2715547,2016-04-29,100000000000.0
45143,2718066,2016-04-29,999000000000.0
2714587,2716776,2016-04-29,400000000000.0
2717976,2337263,2016-04-29,1000000000.0
2718070,2337263,2016-04-29,2000000000.0
2337263,2712910,2016-04-29,100000000000.0
2718102,2337263,2016-04-29,1000000000.0
2714587,2717960,2016-04-29,1999000000000.0
2717989,2337263,2016-04-29,200000000000.0
2337263,2717194,2016-04-29,297872340.0
2715200,2718031,2016-04-29,10000000000.0
2714597,2718060,2016-04-29,400000000000.0
2712967,2717836,2016-04-29,1000000000.0
2717948,2717949,2016-04-29,369364100000.0
2718091,2337263,2016-04-29,11000000000.0
2717025,2718110,2016-04-29,9400000.0
2716763,2717835,2016-04-29,10000000000.0
2716550,2718091,2016-04-29,11000000000.0
238680,2718094,2016-04-29,3000000.0
2717959,2337263,2016-04-29,230000000000.0
2718064,2718065,2016-04-29,1000000000.0
2718096,2337263,2016-04-29,2118800000.0
2716550,2718088,2016-04-29,6000000000.0
2718099,2337263,2016-04-29,46000000000.0
2718035,2337263,2016-04-29,200000000000.0
2337263,2718047,2016-04-29,106058300300.0
2718109,2337263,2016-04-29,275167100000.0
70407,2717843,2016-04-29,95000000000.0
2718075,2717845,2016-04-29,10047000000.0
2718029,2718103,2016-04-29,2000000000.0
2717274,2718105,2016-04-29,5000000000.0
238680,2718095,2016-04-29,7000000000.0
2718092,2717847,2016-04-29,36225300000.0
2714356,2718096,2016-04-29,2118800000.0
345127,2718062,2016-04-29,12000000000.0
2714315,253748,2016-04-29,500000000.0
2717832,2337263,2016-04-29,1000000000.0
2717464,2718078,2016-04-29,100000000000.0
2717982,2337263,2016-04-29,1000000000.0
486258,2717972,2016-04-29,4000000000.0
2718017,2337263,2016-04-29,100000000000.0
2714597,2718106,2016-04-29,1000000000000.0
2716824,2717966,2016-04-29,42998100000000.0
2717740,2717741,2016-04-29,487769100000.0
2718072,2718073,2016-04-29,5000000000.0
403011,2718017,2016-04-29,100000000000.0
2718079,2337263,2016-04-29,500000000000.0
2715058,2717959,2016-04-29,229000000000.0
2717800,2717801,2016-04-29,1000000000.0
2714587,2717960,2016-04-29,1000000000.0
2716362,2718118,2016-04-30,1000000000.0
486258,2717972,2016-04-30,10000000000.0
2337263,2718069,2016-04-30,49766300000.0
1747487,2717221,2016-04-30,129557300000.0
2337263,2716536,2016-04-30,24000000000.0
2718139,2337263,2016-04-30,99000000000.0
2718119,2718120,2016-04-30,900816500000.0
2718112,2716840,2016-04-30,5000000000.0
2716536,2715703,2016-04-30,55000000000.0
2646771,2717763,2016-04-30,1000000000.0
2337263,2715544,2016-04-30,25000000000.0
2335625,2716584,2016-04-30,33000000000000.0
2718001,2717798,2016-04-30,1000.0
2716550,2718126,2016-04-30,10000000000.0
2713495,2718099,2016-04-30,10000000000.0
1747487,2717221,2016-04-30,100000000.0
2337263,2715544,2016-04-30,50000000000.0
2718135,2712507,2016-04-30,905637600000.0
2337263,2718113,2016-04-30,1800000000.0
2718069,2718071,2016-04-30,50766300000.0
2337263,2718127,2016-04-30,100000000.0
2718118,2337263,2016-04-30,1000000000.0
2718064,2716910,2016-04-30,100228200000.0
2715814,2337263,2016-04-30,500000000000.0
2337263,2717850,2016-04-30,1000000000.0
2716362,2718118,2016-04-30,400000000000.0
2718136,2718139,2016-04-30,99000000000.0
2718122,54870,2016-04-30,10000000.0
2716550,2718125,2016-04-30,6901200000.0
2718099,2337263,2016-04-30,11000000000.0
2718120,2337263,2016-04-30,4000000000.0
2718001,2718121,2016-04-30,1000.0
2714191,2718124,2016-04-30,450000000000.0
2337263,2711872,2016-04-30,10000000150.0
2718042,2717526,2016-04-30,109683600000.0
2718120,2337263,2016-04-30,900816500000.0
2337263,2716840,2016-04-30,1010000000.0
2337263,2716378,2016-04-30,1000000000.0
2716342,2716342,2016-04-30,1000000000.0
2718060,2337263,2016-04-30,1000000.0
2718001,2717798,2016-04-30,10.0
2713495,2718099,2016-04-30,300000000000.0
2717972,2337263,2016-04-30,10000000000.0
2717882,2718123,2016-04-30,414682899999.0
2714597,2718106,2016-04-30,364000000000.0
2717882,2718123,2016-04-30,1.0
2717481,2718128,2016-04-30,366863400000.0
2718112,2716840,2016-04-30,500000000.0
2717245,2716720,2016-04-30,5000000000.0
2337263,2718050,2016-04-30,51019851060.0
2337263,2717709,2016-04-30,9789999990.0
2337263,2713617,2016-04-30,127000000000.0
2337263,2716330,2016-04-30,70000000.0
2717974,2718012,2016-04-30,200007399986.0
2714597,2718106,2016-04-30,400000000000.0
2718132,2718133,2016-04-30,6114900000.0
2718136,2718138,2016-04-30,1000000000.0
2337263,2717526,2016-04-30,41400000000.0
366026,2717985,2016-04-30,99000000000.0
2337263,2716536,2016-04-30,363636370.0
2714597,2718060,2016-04-30,1200000000000.0
2337263,2715921,2016-04-30,99996996180.0
2337263,2718107,2016-04-30,15732623000.0
2717882,2718123,2016-04-30,1000000000.0
366026,2717985,2016-04-30,198000000000.0
2718071,2337263,2016-04-30,50766300000.0
2718130,2337263,2016-04-30,85000000000.0
2718060,2337263,2016-04-30,1200000000000.0
2718122,2718134,2016-04-30,12000000.0
2718119,2718120,2016-04-30,4000000000.0
2713495,2718099,2016-04-30,1000000000.0
2718057,2718058,2016-04-30,380440000000.0
2717544,2717235,2016-04-30,50000000000.0
2716748,2716748,2016-04-30,1000000000.0
2718125,2337263,2016-04-30,6901200000.0
2337263,2716378,2016-04-30,5500000000.0
2718136,2718137,2016-04-30,99000000000.0
2337263,2714597,2016-04-30,770500000000.0
2337263,2718127,2016-04-30,37207302550.0
203456,176314,2016-04-30,100000.0
2718123,2337263,2016-04-30,415682899999.0
2337263,2717252,2016-04-30,1000000000.0
2718118,2337263,2016-04-30,400000000000.0
2718112,2716840,2016-04-30,1009541400000.0
2337263,1744945,2016-04-30,1000000000.0
2718124,2337263,2016-04-30,450000000000.0
366026,2717985,2016-04-30,9000000000.0
2337263,2718136,2016-04-30,98000000000.0
2718138,2337263,2016-04-30,1000000000.0
2718099,2337263,2016-04-30,300000000000.0
2717197,2715814,2016-04-30,500000000000.0
2718064,2716910,2016-04-30,50000000000.0
2337263,2717894,2016-04-30,50000000000.0
2717974,2718012,2016-04-30,300700000000.0
2718136,2718137,2016-04-30,1000000000.0
366026,2717985,2016-04-30,163001700000.0
73064,2718131,2016-04-30,1000000000.0
2718133,2337263,2016-04-30,6114900000.0
2716748,2718117,2016-04-30,1668600000.0
2337263,467161,2016-04-30,10000000.0
2337263,2718069,2016-04-30,1000000000.0
2718129,2718130,2016-04-30,85000000000.0
2714597,2718060,2016-04-30,1000000.0
2716910,2718064,2016-04-30,100000000.0
2718126,2337263,2016-04-30,10000000000.0
2718123,2337263,2016-04-30,1.0
2714597,2718106,2016-04-30,770000000000.0
2718134,2337263,2016-04-30,12000000.0
2718131,2337263,2016-04-30,1000000000.0
2718050,2716957,2016-04-30,51019851060.0
2337263,2714597,2016-04-30,1000000000.0
43662,2715967,2016-05-01,10000000000.0
2337263,22990,2016-05-01,5653770.0
2337263,2714597,2016-05-01,70000000.0
2337263,2715679,2016-05-01,155699999990.0
2718104,2337263,2016-05-01,2000000000.0
2714805,2716922,2016-05-01,1000000000000.0
2337263,253721,2016-05-01,120143707620.0
2186427,2716883,2016-05-01,2000000000.0
2716061,2718104,2016-05-01,50000000000.0
2337263,2716915,2016-05-01,7100000000.0
2337263,2712475,2016-05-01,500000000000.0
2337263,238680,2016-05-01,1000000000.0
2337263,2717257,2016-05-01,67017700000.0
2337263,253721,2016-05-01,100000000.0
2718104,2337263,2016-05-01,50000000000.0
203456,253035,2016-05-01,3568800000.0
2718143,2718144,2016-05-01,1000000000000.0
2717993,2717283,2016-05-01,1024002300000.0
2337263,238680,2016-05-01,999990000.0
2716923,2718146,2016-05-01,1000000000.0
310646,2718142,2016-05-01,200000000000.0
2337263,2715679,2016-05-01,100000000000.0
2337263,2712475,2016-05-01,7000000000.0
2715814,2337263,2016-05-01,1000000000000.0
345127,2718062,2016-05-01,150000000000.0
2716342,2716342,2016-05-01,5000000000.0
2718148,2717851,2016-05-01,3663500000.0
2716061,2718104,2016-05-01,2000000000.0
2718143,2718144,2016-05-01,100000000000.0
2718150,2718151,2016-05-01,200000000000.0
2714805,2716922,2016-05-01,10000000.0
366026,2717871,2016-05-01,10000000.0
2337263,2717526,2016-05-01,29000000000.0
2718050,2716957,2016-05-01,54065000000.0
2714805,2716922,2016-05-01,200000000000.0
2337263,2718050,2016-05-01,12800000000.0
2718150,2718152,2016-05-01,1333000000000.0
2718001,2718141,2016-05-01,100.0
2718136,2718137,2016-05-01,3407000000000.0
2718050,2716957,2016-05-01,12800000000.0
2718001,2717798,2016-05-01,300.0
2714805,2716922,2016-05-01,20000000000.0
2599538,2718149,2016-05-01,724509000000.0
2716342,2716341,2016-05-01,5000000000.0
2718001,2718140,2016-05-01,30.0
2718050,2716957,2016-05-01,13000000.0
2718001,2718140,2016-05-01,1000000.0
2337263,2715200,2016-05-01,9999000000.0
2718129,2718130,2016-05-01,454041100000.0
2718130,2337263,2016-05-01,454041100000.0
2337263,2712910,2016-05-01,67000000000.0
2717871,2337263,2016-05-01,10000000.0
2716342,2712475,2016-05-01,5000000000.0
2337263,2718050,2016-05-01,54065000000.0
2337263,2713300,2016-05-01,10000000000.0
2337263,2716048,2016-05-01,23371548160.0
2718140,2718001,2016-05-01,10000.0
2337263,2717526,2016-05-01,20000000000.0
2599538,2718147,2016-05-01,1810273000000.0
2716923,1744945,2016-05-01,1000000000.0
2717197,2715814,2016-05-01,1000000000000.0
2718143,2718144,2016-05-01,6521426000000.0
2337263,64737,2016-05-01,6800000000.0
2337263,2716915,2016-05-01,100000000.0
2718127,2717891,2016-05-01,43307302550.0
2718094,2337263,2016-05-01,3000000.0
2337263,2718050,2016-05-01,13000000.0
2718113,2716330,2016-05-01,6870000000.0
2718001,2718140,2016-05-01,300.0
2337263,238680,2016-05-01,10000.0
2718136,2718139,2016-05-01,98000000000.0
2718139,2337263,2016-05-01,98000000000.0
2337263,2715679,2016-05-01,116000000000.0
2714805,2718145,2016-05-01,1000000000.0
2337263,2717257,2016-05-01,1000000000.0
2716524,2715822,2016-05-01,36220000000.0
2337263,2713300,2016-05-01,150540000000.0
2337263,238680,2016-05-01,2000000000.0
2599538,2718147,2016-05-01,1000000000.0
2718143,2718144,2016-05-01,1000000000.0
2337263,2713300,2016-05-01,1000000000.0
2717815,2717579,2016-05-01,1000000000.0
2718062,2337263,2016-05-01,150000000000.0
2337263,2716915,2016-05-01,23763400000.0
253748,2717922,2016-05-02,10000000.0
2337263,366026,2016-05-02,6000000000.0
2599538,2713114,2016-05-02,362000000000.0
2716381,2717197,2016-05-02,1000000000000.0
2717599,2337263,2016-05-02,520000000.0
251369,2718155,2016-05-02,1300000000.0
2716061,2718104,2016-05-02,25000000000.0
2337263,2710196,2016-05-02,500000000.0
2718161,2337263,2016-05-02,1000000000.0
2718136,2718137,2016-05-02,1545765900000.0
2337263,366026,2016-05-02,5000000.0
2717952,2718068,2016-05-02,300000000000.0
2337263,2716378,2016-05-02,4000000000.0
2717922,253748,2016-05-02,10000000.0
2716584,2718154,2016-05-02,1000000000.0
2718159,2337263,2016-05-02,1424450000000.0
2337263,2715679,2016-05-02,100010000000.0
2718158,2718159,2016-05-02,1000000000.0
2716381,2717197,2016-05-02,832430300000.0
2718136,2718137,2016-05-02,1000000000000.0
2337263,2713300,2016-05-02,300690000000.0
2337263,2717553,2016-05-02,1000000000000.0
2337263,2717800,2016-05-02,1000000000.0
2717197,2716381,2016-05-02,832430300000.0
2718158,2718159,2016-05-02,1424450000000.0
2337263,2713300,2016-05-02,220960000000.0
2718104,2337263,2016-05-02,25000000000.0
253748,2718157,2016-05-02,10000000.0
2337263,2718156,2016-05-02,70000000000.0
251369,2718155,2016-05-02,100000000.0
2718140,2718153,2016-05-02,100000.0
2718161,2337263,2016-05-02,90000000000.0
2717807,2717808,2016-05-02,100000000000.0
2717871,2337263,2016-05-02,5995000000.0
2337263,2710196,2016-05-02,2000000000.0
2718160,2718161,2016-05-02,90000000000.0
2716584,1744945,2016-05-02,40000000000.0
2717197,2335632,2016-05-02,100000000000000.0
2599538,2717554,2016-05-02,1261000000000.0
2717554,2337263,2016-05-02,1261000000000.0
2337263,2717709,2016-05-02,6021000000.0
2718136,2718137,2016-05-02,1500000000000.0
2717197,2716381,2016-05-02,1000000000000.0
2718159,2337263,2016-05-02,1000000000.0
253748,2717922,2016-05-02,1000000000000000.0
256505,2718001,2016-05-02,100000.0
366026,2717871,2016-05-02,5995000000.0
2717197,2715835,2016-05-02,50000000000000.0
